,Unnamed: 0,RUN,AverageLogRT,PercentFast
0,0,Run2,-0.0622478817097501,0.0
1,1,Run3,-0.0719713351864983,0.0
2,2,Run4,-0.1010212731870203,0.0
3,3,Run5,-0.1407026380431439,0.0
4,4,Run6,-0.059391016945085,0.0
5,5,Run7,-0.0581651231816742,0.0
6,6,Run8,-0.0631462729453763,0.0
7,7,Run9,-0.0085160394785389,0.0
8,8,Run11,-0.0547147208640568,0.0
9,9,Run12,-0.0461866154165354,0.0
10,10,Run14,-0.0268611232794958,0.0
11,11,Run15,0.1822650170638755,0.0
12,12,Run16,0.2115443706356918,0.0
13,13,Run17,0.205383579046002,0.0
14,14,Run18,0.2230077732421335,0.0
15,15,Run19,0.2431353489472938,0.0
16,16,Run20,0.2856618984746252,0.0
17,17,Run21,0.2523717296684005,0.0
18,18,Run23,0.1688123907171079,0.0
19,19,Run24,0.1764864002836366,0.0
20,20,Run26,0.0169539043760299,0.0
21,21,Run27,-0.0766264189846963,0.0
22,22,Run28,-0.0638168108523693,0.0
23,23,Run29,-0.0561098416616329,0.0
24,24,Run30,-0.0760256316531803,0.0
25,25,Run31,-0.0229478795860485,0.0
26,26,Run32,-0.1006259718144087,2.7777777777777777
27,27,Run33,0.0211692694448111,0.0
28,28,Run35,0.0081973186502569,0.0
29,29,Run36,0.0234028492009483,0.0
