,Unnamed: 0,RUN,AverageLogRT,PercentFast
0,0,Run2,-0.0405637534179967,0.0
1,1,Run3,-0.0546728096649156,0.0
2,2,Run4,-0.0263929507183984,0.0
3,3,Run5,-0.0653751171759942,0.0
4,4,Run6,-0.0889830160052054,5.172413793103448
5,5,Run7,-0.1158420132123348,9.375
6,6,Run8,-0.1195958063314603,3.125
7,7,Run9,-0.1193149525413411,7.8125
8,8,Run11,-0.0615780291030142,5.2631578947368425
9,9,Run12,-0.1341431804239684,6.0606060606060606
10,10,Run14,-0.1279887227203714,10.76923076923077
11,11,Run15,-0.1693507978512721,22.857142857142858
12,12,Run16,-0.2551507406466479,55.0
13,13,Run17,-0.1675126908214244,24.63768115942029
14,14,Run18,-0.1450049141424137,16.176470588235293
15,15,Run19,-0.2455617953439623,51.89873417721519
16,16,Run20,-0.1867617125411887,32.394366197183096
17,17,Run21,-0.3113657671498652,70.93023255813954
18,18,Run23,-0.3048789626022105,65.47619047619048
19,19,Run24,-0.3408132053794716,76.66666666666667
20,20,Run26,-0.1309983136980578,14.0625
21,21,Run27,-0.1435115381580447,5.970149253731344
22,22,Run28,-0.1624536109013176,17.91044776119403
23,23,Run29,-0.3386642260064571,74.15730337078652
24,24,Run30,-0.3154225715400409,70.58823529411765
25,25,Run31,-0.2869800085044466,68.29268292682927
26,26,Run32,-0.3566025405169516,79.12087912087912
27,27,Run33,-0.3764840948625031,79.7872340425532
28,28,Run35,-0.2950234356295283,62.96296296296296
29,29,Run36,-0.3388974391778581,69.31818181818181
