,RUN,LOW_Cath_CONTROL_AveargeRunLogRTs,JSH_Cath_CONTROL_AveargeRunLogRTs,FRF_Cath_CONTROL_AveargeRunLogRTs,VXP_Cath_CONTROL_AveargeRunLogRTs,AAF_Cath_CONTROL_AveargeRunLogRTs,DSL_Cath_CONTROL_AveargeRunLogRTs,RID_Cath_CONTROL_AveargeRunLogRTs,RJO_Cath_CONTROL_AveargeRunLogRTs,IXD_Cath_CONTROL_AveargeRunLogRTs,VXE_Cath_CONTROL_AveargeRunLogRTs,MTG_Cath_CONTROL_AveargeRunLogRTs,EGW_Cath_CONTROL_AveargeRunLogRTs,AVB_Cath_CONTROL_AveargeRunLogRTs,CRB_Cath_CONTROL_AveargeRunLogRTs,TXM_Cath_CONTROL_AveargeRunLogRTs,SRH_Cath_CONTROL_AveargeRunLogRTs,JAF_Cath_CONTROL_AveargeRunLogRTs,JEC_Cath_CONTROL_AveargeRunLogRTs,STF_Cath_CONTROL_AveargeRunLogRTs,MAM_Cath_CONTROL_AveargeRunLogRTs,DLC_Cath_CONTROL_AveargeRunLogRTs,GroupAvgPercentFast
0,Run2,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,7.352941176470588,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572772844362331
1,Run3,5.172413793103448,0.0,0.0,0.0,0.0,0.0,10.81081081081081,20.895522388059703,0.0,1.694915254237288,0.0,0.0,2.2222222222222223,0.0,0.0,54.54545454545455,16.438356164383563,0.0,0.0,0.0,0.0,5.322842627536742
2,Run4,27.142857142857142,0.0,0.0,0.0,0.0,2.2222222222222223,21.518987341772156,29.72972972972973,0.0,8.333333333333334,0.0,22.580645161290324,0.0,0.0,0.0,80.3921568627451,31.506849315068493,0.0,4.109589041095891,0.0,0.0,10.835065245243543
3,Run5,34.78260869565217,0.0,0.0,0.0,0.0,0.0,25.0,59.49367088607595,2.9411764705882355,13.636363636363637,0.0,55.95238095238095,9.30232558139535,0.0,0.0,69.29824561403508,45.1219512195122,0.0,6.666666666666667,0.0,0.0,15.342637605841437
4,Run6,44.44444444444444,0.0,0.0,6.25,0.0,2.2222222222222223,53.40909090909091,58.75,7.575757575757576,9.23076923076923,21.21212121212121,62.7906976744186,14.893617021276595,0.0,3.389830508474576,50.505050505050505,54.65116279069768,0.0,10.256410256410255,4.761904761904762,0.0,19.25443233869708
5,Run7,41.66666666666666,0.0,8.064516129032258,0.0,0.0,0.0,56.62650602409639,57.142857142857146,8.823529411764707,7.936507936507937,0.0,75.53191489361703,10.20408163265306,0.0,7.017543859649122,68.68686868686869,53.48837209302326,0.0,8.219178082191782,7.352941176470588,0.0,19.5600706540666
6,Run8,45.2054794520548,0.0,17.46031746031746,0.0,0.0,0.0,63.63636363636363,48.61111111111112,11.594202898550725,17.1875,0.0,59.036144578313255,15.217391304347826,2.1739130434782608,0.0,78.50467289719626,55.81395348837209,0.0,22.89156626506024,15.625,0.0,21.569410292150742
7,Run9,53.24675324675325,0.0,15.873015873015872,0.0,0.0,2.0408163265306123,86.73469387755102,55.26315789473684,17.80821917808219,22.388059701492537,0.0,64.28571428571429,23.63636363636364,4.3478260869565215,1.7857142857142858,75.0,58.8235294117647,0.0,39.53488372093023,15.151515151515152,0.0,25.520012508434338
8,Run11,21.428571428571427,0.0,12.5,2.127659574468085,0.0,3.636363636363636,33.75,35.13513513513514,23.68421052631579,1.694915254237288,0.0,58.53658536585366,15.217391304347826,0.0,0.0,66.3265306122449,46.25,0.0,12.658227848101266,1.5873015873015872,0.0,15.930137727282883
9,Run12,51.25,0.0,7.407407407407407,0.0,0.0,0.0,71.26436781609195,45.71428571428572,65.55555555555556,4.838709677419355,0.0,78.0,11.904761904761903,0.0,3.636363636363636,76.85185185185185,57.95454545454545,3.4482758620689653,27.848101265822784,15.714285714285714,0.0,24.828024374307628
10,Run14,38.35616438356164,0.0,31.818181818181817,0.0,2.083333333333333,0.0,71.11111111111111,38.888888888888886,40.47619047619048,4.838709677419355,0.0,0.0,20.40816326530612,0.0,4.918032786885246,82.10526315789474,68.08510638297872,3.389830508474576,37.362637362637365,28.205128205128204,0.0,22.478416255142456
11,Run15,54.054054054054056,0.0,29.85074626865672,0.0,2.0,10.0,75.0,84.21052631578948,86.86868686868686,15.151515151515152,2.7777777777777777,49.397590361445786,21.568627450980397,0.0,29.166666666666668,84.61538461538461,79.59183673469387,0.0,77.77777777777777,30.26315789473684,0.0,34.871159425626956
12,Run16,41.1764705882353,0.0,39.130434782608695,0.0,0.0,0.0,88.88888888888889,80.8080808080808,84.11214953271028,9.23076923076923,0.0,72.72727272727273,35.416666666666664,0.0,41.42857142857143,83.19327731092437,79.6116504854369,13.235294117647058,84.31372549019608,49.36708860759494,2.0408163265306123,38.31815033295876
13,Run17,64.28571428571429,0.0,32.83582089552239,3.7735849056603774,0.0,20.967741935483872,76.59574468085107,77.77777777777777,40.22988505747127,11.940298507462687,0.0,43.05555555555556,13.043478260869565,0.0,47.2972972972973,73.33333333333333,80.58252427184466,30.43478260869565,88.28828828828829,53.75,0.0,36.104372745801335
14,Run18,75.28089887640449,0.0,50.0,2.0,0.0,10.20408163265306,91.91919191919192,73.25581395348837,45.88235294117647,11.594202898550725,0.0,68.53932584269663,32.075471698113205,2.5,45.45454545454545,78.26086956521739,86.73469387755102,9.67741935483871,75.65217391304348,32.78688524590164,0.0,37.70561557968441
15,Run19,51.31578947368421,0.0,28.35820895522388,0.0,0.0,0.0,87.87878787878788,70.32967032967034,78.78787878787878,7.575757575757576,0.0,66.66666666666667,22.916666666666668,4.3478260869565215,40.625,78.44827586206897,80.58252427184466,35.2112676056338,87.87878787878788,22.641509433962263,0.0,36.36021987969477
16,Run20,74.07407407407408,0.0,46.875,1.9230769230769231,0.0,9.615384615384617,92.78350515463916,56.41025641025641,81.18811881188118,14.0625,24.324324324324323,66.27906976744185,24.0,2.702702702702702,60.256410256410255,92.03539823008848,81.81818181818181,60.526315789473685,88.69565217391305,18.33333333333333,0.0,42.66206211358009
17,Run21,71.95121951219512,0.0,9.615384615384617,0.0,0.0,27.11864406779661,93.93939393939394,56.16438356164384,74.48979591836735,10.0,0.0,63.29113924050633,25.925925925925927,2.702702702702702,70.51282051282051,84.05797101449275,78.21782178217822,62.0253164556962,86.66666666666667,41.891891891891895,0.0,40.88433703846012
