,RUN,AverageLogRT
0,Run2,-0.04460742766773711
1,Run3,-0.0845969096804675
2,Run4,-0.09025645504651493
3,Run5,-0.06603263370916596
4,Run6,-0.0511129704388897
5,Run7,-0.02164594066330793
6,Run8,-0.01005365423391134
7,Run9,-0.06854856737556177
8,Run11,-0.05901394421810272
9,Run12,-0.021706396607465844
10,Run14,-0.006180497080060869
11,Run15,0.05672979372836619
12,Run16,-0.06769094360960941
13,Run17,-0.0884487243328708
14,Run18,-0.053536409732444584
15,Run19,-0.07613558990764473
16,Run20,-0.11249875844710594
17,Run21,-0.08373718782752239
18,Run23,-0.009738364832939002
19,Run24,0.04594631211544497
20,Run26,-0.07482002538543076
21,Run27,-0.10286930184804732
22,Run28,-0.09033662112006481
23,Run29,-0.11769622598282185
24,Run30,-0.0945996055039411
25,Run31,-0.10446652363411246
26,Run32,-0.1498386455862082
27,Run33,-0.12579135705674388
28,Run35,-0.03363969253826226
29,Run36,-0.14182235523492634
