,RUN,AverageLogRT
0,Run2,-0.029257735922411387
1,Run3,-0.03564927513906833
2,Run4,-0.05667655218986526
3,Run5,-0.06197482539179739
4,Run6,-0.07604782130729508
5,Run7,-0.060260203752984666
6,Run8,-0.048642977559590156
7,Run9,-0.06788298216899027
8,Run11,-0.0042892575826522
9,Run12,-0.05063895931872809
10,Run14,-0.05298572304785537
11,Run15,-0.08721426713134954
12,Run16,-0.07769954133858967
13,Run17,-0.08358724350621961
14,Run18,-0.10650757555566127
15,Run19,-0.06996534456385124
16,Run20,-0.12434047979703215
17,Run21,-0.09593581531314842
18,Run23,-0.06692075541923947
19,Run24,-0.09022075827575968
20,Run26,-0.085288073282828
21,Run27,-0.10595316990406263
22,Run28,-0.1324063588924421
23,Run29,-0.17438521805655227
24,Run30,-0.15045579494709882
25,Run31,-0.18618228626808242
26,Run32,-0.1402266260041409
27,Run33,-0.1648171866899835
28,Run35,-0.08814855354041085
29,Run36,-0.06608461288023983
