,RUN,AverageLogRT
0,Run2,0.06019947094679627
1,Run3,0.04385659563339085
2,Run4,-0.015995819696658992
3,Run5,-0.03448313360049357
4,Run6,-0.04410910313103429
5,Run7,-0.10838965707220939
6,Run8,-0.10388663161585113
7,Run9,-0.060827040486617044
8,Run11,-0.035982548362730966
9,Run12,-0.043527179885283
10,Run14,-0.03509127756497701
11,Run15,-0.047529931461271255
12,Run16,-0.11247788188723015
13,Run17,-0.06334755809185195
14,Run18,-0.05904408068720058
15,Run19,-0.03155373111450356
16,Run20,-0.09828631628000112
17,Run21,-0.04796760010417541
18,Run23,-0.08990678802191007
19,Run24,-0.0583994311889703
20,Run26,-0.06840888071309917
21,Run27,-0.09451334497221373
22,Run28,-0.12638889242805343
23,Run29,-0.09010767592012182
24,Run30,-0.13101003609623132
25,Run31,-0.12635365779627347
26,Run32,-0.13225961932465674
27,Run33,-0.13183946439193184
28,Run35,-0.10323231524037645
29,Run36,-0.11157141073579062
