,RUN,AverageLogRT
0,Run2,-0.049326553209669576
1,Run3,-0.03650866017367538
2,Run4,0.004884511236211739
3,Run5,0.0275798159173578
4,Run6,-0.015870854395976842
5,Run7,0.04213867349960022
6,Run8,-0.010078496017098789
7,Run9,0.02153787361343989
8,Run11,0.0434941511436908
9,Run12,0.04446544122639244
10,Run14,0.07125433660140414
11,Run15,-0.0047067859170258864
12,Run16,-0.026133690208517465
13,Run17,-0.010499298258113802
14,Run18,-0.0224036674321711
15,Run19,-0.04967581172916567
16,Run20,-0.022806404851011614
17,Run21,-0.1185671260258081
18,Run23,-0.024658463605387496
19,Run24,-0.05647570402165591
20,Run26,-0.048762121694119906
21,Run27,-0.09694005781051047
22,Run28,-0.10874151632563228
23,Run29,-0.09430551791695842
24,Run30,-0.09570689131068914
25,Run31,-0.04995289007973867
26,Run32,-0.10272083204376169
27,Run33,-0.09495611462683122
28,Run35,-0.009350127946693546
29,Run36,-0.010342797520246284
