,RUN,AverageLogRT
0,Run2,-0.10119506299005097
1,Run3,-0.2738303389195275
2,Run4,-0.35421704800975645
3,Run5,-0.2953425016186334
4,Run6,-0.30214450733015413
5,Run7,-0.2888562706238752
6,Run8,-0.243563492892262
7,Run9,-0.29276312483289574
8,Run11,-0.24481188778941718
9,Run12,-0.21985471276082233
10,Run14,-0.37610966399085455
11,Run15,-0.30182686878885945
12,Run16,-0.33783689671870476
13,Run17,-0.25005298363255957
14,Run18,-0.3655965044695811
15,Run19,-0.3313257761306336
16,Run20,-0.36506408032069776
17,Run21,-0.31083681030064486
18,Run23,-0.3745936192637183
19,Run24,-0.305822149531047
20,Run26,-0.3922067907817154
21,Run27,-0.3718310987395034
22,Run28,-0.3680043967328372
23,Run29,-0.40787962327332206
24,Run30,-0.35199612452787216
25,Run31,-0.245702313669871
26,Run32,-0.3757524606004769
27,Run33,-0.3154623865159652
28,Run35,-0.31761645705504765
29,Run36,-0.3412440740887299
