,RUN,AverageLogRT
0,Run1,2.6235666666666675
1,Run2,2.584629032258064
2,Run3,2.5113380281690136
3,Run4,2.4833150684931504
4,Run5,2.42795
5,Run6,2.403380952380952
6,Run7,2.3882823529411765
7,Run8,2.398578313253012
8,Run9,2.37764367816092
9,Run10,2.607322033898305
10,Run11,2.3643977272727272
11,Run12,2.2604444444444445
12,Run13,2.596571428571428
13,Run14,2.2193711340206184
14,Run15,2.1850467289719626
15,Run16,2.309141414141414
16,Run17,2.2137979797979797
17,Run18,2.2142358490566036
18,Run19,2.2085242718446603
19,Run20,2.1817087378640774
20,Run21,2.125715596330275
21,Run22,2.4839493670886075
22,Run23,2.1878080808080806
23,Run24,2.120583333333333
24,Run25,2.617716666666667
25,Run26,2.0854795918367346
26,Run27,1.9869203539823008
27,Run28,1.9951230769230772
28,Run29,2.001829457364341
29,Run30,2.0411384615384622
30,Run31,2.0801472868217052
31,Run32,2.073680672268907
32,Run33,2.0579105691056907
33,Run34,2.4204395604395605
34,Run35,2.0052022471910114
35,Run36,2.0550247933884296
